Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation,Domain
What is the current status of the GAF in DSM-5 per the reading?,Still Axis V standard; use GAF 1–100,Replaced by WHODAS 2.0; GAF no longer included,Optional for adults only,Required for all forensic reports,,B,"GAF is not in DSM-5; WHODAS 2.0 and structured risk assessment are recommended, a frequent exam update item.",Assessment
"In administering the WAIS-IV, under what condition should a psychologist prioritize the General Ability Index (GAI) over the Full Scale IQ (FSIQ) for summarizing global intellectual ability?",The difference between the highest and lowest index scores is less than 23 points,The difference between the highest and lowest index scores is 23 points or more,The client is under 16 years old,Australian norms are unavailable,,B,"When the spread among VCI, PRI, WMI, and PSI is ≥1.5 SD (≈23 points), FSIQ is not a unitary estimate and GAI (VCI+PRI) is preferred; a frequent NPE interpretation pitfall.",Assessment
A psychologist is assessing a 15-year-old using the WISC-V. Which index primarily measures inductive and quantitative reasoning and abstract thinking?,Verbal Comprehension Index (VCI),Visual Spatial Index (VSI),Fluid Reasoning Index (FRI),Working Memory Index (WMI),,C,FRI taps inductive and quantitative reasoning and abstract problem solving; knowing index constructs is essential for applied selection and interpretation on the NPE.,Assessment
"When interpreting PAI results for suspected malingering, which validity scale evaluates exaggerated negative presentation?",Inconsistency (ICN),Infrequency (INF),Negative Impression Management (NIM),Positive Impression Management (PIM),,C,NIM reflects over-reporting of negative symptoms (faking bad). ICN and INF address other response styles; PIM reflects overly favorable presentation.,Assessment
"Using the DASS-21 to monitor therapy, which subscale targets difficulty winding down, nervous arousal, and irritability?",Depression,Anxiety,Stress,All subscales equally,,C,"The Stress subscale indexes chronic nonspecific arousal (e.g., difficulty relaxing). DASS is for severity monitoring, not diagnosis, a common NPE trap.",Assessment
"A GP refers a client with a K10 score of 28. What severity band does this indicate, and how should it be interpreted for screening?",Mild band; typically non-urgent,Moderate band (25–29); screen-positive but below ≥30 best cut-off,Severe band (≥30); high likelihood of disorder,Minimal distress (≤9),,B,K10 bands place 25–29 in the moderate range; ≥30 maximizes true positives among screen-positives. Avoid over-pathologizing sub-30 scores on the NPE.,Assessment
"When using the SDQ for referral decisions, which components are summed to form the Total Difficulties score?",Impact supplement only,Follow-up version only,Emotional Symptoms + Peer Problems + Conduct Problems + Hyperactivity,Prosocial scale only,,C,Total Difficulties is the sum of the four deficit subscales (prosocial is reported separately). Internalizing/externalizing groupings aid interpretation.,Assessment
"For a preschooler suspected of giftedness, which Wechsler scale and age band are appropriate for the older battery?","WPPSI, 2:6–3:11","WPPSI, 4:0–7:7","WISC-V, 6:0–16:11","WAIS-IV, 16:0–90:11",,B,The WPPSI older battery covers 4:0–7:7 and is designed for early identification in educational contexts; misapplying older-child/adult scales is a common error.,Assessment
Which statement about the SB5 structure is TRUE?,Only Fluid Reasoning has verbal and nonverbal counterparts,All five factors have both verbal and nonverbal counterparts,Only Knowledge and Quantitative Reasoning have nonverbal counterparts,No SB5 factors have nonverbal counterparts,,B,"The SB5 measures five factors (Fluid Reasoning, Knowledge, Quantitative Reasoning, Visual-Spatial, Working Memory), each with verbal and nonverbal subtests; important for selecting and interpreting scores.",Assessment
The WJ-III COG battery is grounded in which theoretical model?,Wechsler’s hierarchical model,Cattell-Horn-Carroll (CHC) theory,Holland’s RIASEC model,Piagetian stage theory,,B,"The WJ-III COG follows CHC theory, aligning specific tests to broad and narrow abilities; theory–test alignment is routinely examined on the NPE.",Assessment
"When diagnosing specific learning disorders with the WIAT-III, which composite assesses phonetic decoding via pseudoword reading?",Reading,Mathematics,Written Language,Oral Language,,A,Pseudoword Decoding indexes phonetic decoding within the Reading composite; using it appropriately supports SLD decisions and avoids misinterpretation of reading profiles.,Assessment
"Evaluating everyday functioning in an adult with developmental delays, which ABAS-3 domain covers independence, responsibility, and following directions (Self-Direction)?",Conceptual,Social,Practical,Motor,,A,"Self-Direction is part of the Conceptual domain; the GAC aggregates Conceptual, Social, and Practical domains for overall adaptive functioning.",Assessment
Which of the following is one of the five WMS-IV index scores?,Immediate Memory,Executive Function,Working Memory Index,Processing Speed Index,,A,"WMS-IV produces five indices including Immediate Memory (others include Auditory Memory, Visual Memory, Visual Working Memory for certain ages, and Delayed Memory); do not confuse with WAIS indices.",Assessment
"In an elderly client with suspected dementia, the WRAML2 core indexes include Verbal Memory, Visual Memory, and which other index?",Working Memory,Attention-Concentration,Delayed Recall,Processing Speed,,B,"WRAML2 core indices are Verbal Memory, Visual Memory, and Attention-Concentration, with optional delayed/recognition measures for further depth.",Assessment
"Using the SDS, a client’s three-letter code is RIA. What does the first letter represent in Holland’s model?",Realistic,Investigative,Artistic,Social,,A,The first letter indicates the dominant vocational interest; R = Realistic (hands-on/practical). Interpreting codes accurately is common in applied NPE items.,Assessment
Which statement about the 16PF’s global factors is accurate?,Global factors are derived by combining related primary scales,Global factors are independent of primary scales,"The 16PF reports only primary scales, not global factors",Global factors replace primary scales in interpretation,,A,"The 16PF reports primary scales that combine into broader global factors (e.g., Extraversion); remember both levels are interpreted together.",Assessment
"On the NEO PI-R, which domain includes facets such as Anxiety, Depression, and Vulnerability?",Neuroticism,Extraversion,Openness,Agreeableness,,A,"Neuroticism captures negative affectivity including anxiety, depression, and vulnerability; be mindful of state effects (e.g., acute depression) when interpreting profiles.",Assessment
"When screening with the STAI-Y, what distinguishes Trait Anxiety from State Anxiety?","Trait measures a stable disposition to experience anxiety; State measures immediate, situational anxiety",Trait measures fluctuating responses to threats; State measures a stable disposition,Both measure the same construct but Trait reverses scoring,State applies only to phobias; Trait to generalized anxiety,,A,"Trait reflects enduring propensity across situations, whereas State reflects current arousal; using the correct form is key for monitoring change and treatment effects.",Assessment
"In the CBCL, what T-score on problem scales indicates the clinical range warranting further evaluation?",Below 37,37–40,≥60,<50,,C,"For problem scales, T ≥ 60 is clinical; for competence scales, T < 37 is clinical. Knowing the separate cut-offs avoids misinterpretation on reports.",Assessment
"Assessing overall functioning, what does a higher GAF score indicate, and why was GAF removed from DSM-5?",Poorer functioning; replaced by multiaxial structure,Healthier functioning; replaced by WHODAS 2.0 due to limitations of a single global score,No impairment; retained in DSM-5,Severe symptoms; no replacement required,,B,"Higher GAF indicates better functioning, but DSM-5 replaced GAF with WHODAS 2.0 and structured assessments due to reliability/validity concerns; this update appears frequently on the NPE.",Assessment
You see a 29yo F who says she is unhappy with family and work life. Her K10 is 44. What is the client most likely to have based on these scores?,A personality disorder,The client has inflated their scores,An adjustment disorder,A moderate mental disorder,A severe mental disorder,E,K10 ≥40 = very high distress; consistent with severe disorder.,Assessment
You're seeing a 43 year old female under a MHCP to help manage her symptoms of depression and stress from work. Halfway through treatment she cancels her appointments and tells you she can no longer afford this as she has lost her job. What is the most appropriate thing for you to do?,Refer to a clinician who bulk-bills under Medicare,Negotiate to continue treatment at a reduced cost,Barter an alternative ficial arrangement,Agree on late payment for her sessions,Stop treatment and refer her back to her GP for other options,B,Reduce fee/access options preserves care and avoids harm/exploitation.,Ethics
What statement is not consistent with a diagnosis of GAD?,The client reports problems with insomnia and difficulty sleeping,The client engages in rituals at times when they worry,The client reports concerns of something bad happening,The client experiences longstanding fatigue,The client sees her worries as reasonable,B,"Rituals/compulsions point to OCD, not core GAD.",Assessment
You administer a WISC to an 11 year old male. His FSIQ is 98. The index scores range from 62 (for VCI) and 134 (for FRI). You determine the obtained profile of the score is reliable and valid. What is the most important next step when interpreting the client's performance?,Emphasise that the client's weaknesses is in comprehension,Emphasise that the FSIQ is in the average range,Emphasise his superior verbal comprehension score,Emphasise the inferior processing score,Emphasise the range of index scores,E,"Marked variability → interpret the range/profile, not FSIQ alone.",Assessment
What feature is not consistent with a diagnosis of bulimia nervosa?,Low self-esteem,Episodes of binge eating,Vomiting after meals,Depressed mood,Being significantly overweight,E,Most with bulimia are normal weight; “significantly overweight” not typical.,Assessment
What's the most important feature of diaphragmatic breathing?,To increase the client's oxygenation by increasing their breathing rate,To increase the client's oxygenation by increasing the depth of breaths,To extend the abdomen which draws in air on inhalation,To tighten the abdomen to support inhalation,To support inhalation by tightening the upper chest,C,Belly expansion reflects diaphragm descent & efficient ventilation.,Intervention
You're talking to a colleague who discusses a business idea which involves providing clients with a link to a mobile app he developed and then the client would pay a monthly fee for access. What is the main ethical concern here?,Who is the primary client,Whether there is informed consent,Whether the app will be useful,Whether there is a risk of ficial exploitation,How the psychologist will declare the income,D,Primary concern is financial exploitation/dual-role risk.,Ethics
"You receive a subpnoena for session notes in the context of a marital dispute. You write to the court informing them of your confidentiality concerns, but they refuse to listen to you and still want your notes. What is the important next step?",Advise the client that you have to release all the information,Advise the client to write to the court about their own concerns,Tell the client to try to seek mediation to avoid notes release,Contact someone who is an expert in court proceedings,Refer to another psychologist,A,Court order overrides confidentiality; advise client you must release.,Ethics
"A colleague recommends a painter who she recently used. When you contact the painter, he tells you that he did the work for your colleague in exchange for psychological services. Which option is the best way to proceed with this information?",Discuss with your colleague the apparent ethical dilemma,Check the comparison of costs for the painting and psychological services exchanged,Use a different painter because he does not need any psychological services at this time,Inform the painter of the apparent ethical issue and exploitation,Use the painter because he has been recommended by your colleague,A,Raise with colleague—barter = boundary/exploitation concern.,Ethics
A client asks to have the records of their sessions that ended 2 years ago. What should you say?,"No , you can't have your records but I can offer you further sessions and tests to resolve the issue you're having","No , you can't have your records but we can arrange an appointment to discuss why you need them",I can show you your records in the office but you cannot take them home,"Yes , I will make you a copy of your records as this is your right",No - I don't want you to see them.,C,(Keyed C) Supervised access vs release; note: many jurisdictions allow copies.,Ethics
"You have been referred an 82 year old client who lives in a nursing home. She says she doesn't want to visit her son's home anymore, but she's vague when you ask her why. You obtain consent to talk to nursing home staff and they report they have noticed the client's come back from visits with bruising on her arms. Which option is the most important consideration when formulating the client's presentation?",Son's ability to care for his mother,Client's level of cognition,Likelihood of elder abuse,Client's ability to make safe decisions,Reliability of staff's report,C,Pattern flags likelihood of elder abuse—central to formulation/risk.,Assessment
"You a referred a 20yo M for an assessment. You do a WAIS and his FSIQ = 80, VCI = 87, PSI = 73, WMI =78, and PRI = 78. He's applying for the disability support pension and the criteria is for the FSIQ to be 2 or more standard deviations below the mean. What is the best interpretation of the client's profile of scores?",The client's scores are too variable to draw a conclusion,The PSI is the best indicator of cognitive functioning,The scores do not support a conclusion of impaired functioning,Some areas of cognitive functioning are in the impaired range,The GAI needs to be calculated before interpreting the scores,C,DSP criterion is ≤70 (~2 SD below). Scores don’t support impairment.,Assessment
Your client tells you that his work are investigating his performance as his boss thinks he is not completing the tasks and is slacking off. He has also recently experienced a divorce. What statement should you use to support his disclosures?,Chin up,Focus instead on what's going well for you right now,It is what it is,Your work and personal life are both sources of distress for right now,Sometimes we need to take things as a sign to make an important change in our life,D,Reflect both domains: “work and personal life are distressing.”,Communication
"You administer the WISC to a 10yo F. Her FSIQ = 77, VCI = 100, PSI = 61, PRI = 72, WMI = 81. What does the variability suggest?",The FSIQ is not the best reflection of the child's cognitive ability,The profile is invalid,The child has a mild intellectual disability,The presence of ADHD,The child was not motivated,A,Large scatter → FSIQ not best summary of ability.,Assessment
You are treating an elderly man for depression. The client has been living with a family friend and the friend often comes to the therapy sessions and speaks forcefully to and for the client. In a recent session you notice a prominent bruise on the client's arm. You ask the client how that occurred and the client is dismissive and says it was an accident. What is the most important thing for you to do?,Refer the client to their GP for anti-depressants,Request dementia assessment by the aged care team,Consider the possibility of elder abuse,Explore how the client is managing physical care,Contact adult family members to raise concerns,C,Consider elder abuse and safeguard risk before other steps.,Assessment
You decide to use the ORS (Outcome Rating Scale) with a 25yo F client who has reported issues with social anxiety. What is the most significant benefit for using the ORS?,To improve compliance by psychologists,To improve interpretation of client distress,To improve clinical outcomes for the client,To improve accountability to your managers,To improve the ability to identify risk factors,C,Routine outcome monitoring improves clinical outcomes.,Assessment
"You are a female psychologist who is referred a 19 year old male for an assessment of intellectual capacity. He has been remanded in custody for an assault charge and the assessment has been requested by the court. During the testing, there is a lot of noise outside and he says he's very hungry. His scores are very low. What do you need to be aware of when interpreting his scores?",What additional assessment is required to help the male,If his scores will help with his legal case,If using a female psychologist was appropriate,If the noise and his hunger could have affected his scores,The court's requirements for including testing data,D,Test performance can be impacted by environment/physiological state.,Assessment
"You're referred a 47yo F by her GP. She has a history of stomach complaints but tests have failed to determine a medical cause. The client is unemployed, lives alone, and has minimal social contacts. Which option is the most relevant self-report measure to use in your assessment?",Self-Directed Search,ABAS,ORS,BDI,DASS-21,B,ABAS evaluates adaptive functioning—fits social/functional concerns.,Assessment
"What is the most important reason to communicate with other professionals (e.g., neurologist and GP)?",So the client doesn't have to remember to tell their GP,It's in the best interest of the client,It's a requirement of the APS Code of Ethics,To maintain a relationship with the referrer,It's an expectation of Medicare reporting requirements,B,Primary reason: client’s best interests/continuity of care.,Ethics
You have been given the task by a large organisation to screen applicants for a position. You want to see how their interests match the requirements of the job that they're applying for. Which test is most appropriate?,MMPI,Strong Interest Inventory,Californian Psychological Inventory,Self-Directed Search,16PF,D,CPI suitable for normal-range personality relevant to roles.,Assessment
An elderly man presents with his son to see you. The son requests a neurocognitive assessment of his father because he's concerned his father is showing signs of cognitive decline. He's considering putting his father in a nursing home. The elderly man says he's doing fine and doesn't want to go to a nursing home. You do a neurocognitive assessment and see no signs of cognitive decline. What will you say to the elderly man and his son in the feedback?,That you can't give them any advice,That you suspect elder abuse and you're going to investigate this further,That you need to refer the elderly man back to his GP for referral to a neurologist,"That based on your findings, the elderly man is in the normal range for his cognitive abilities and decision making and should make his own decision",That the son has a right to make decisions for his father because of his father's age,D,State he’s within normal range and should make own decisions.,Communication
You're requested to provide a report for court regarding a previous client. They ask specific questions about the client's past experiences. What is the most important consideration to be aware of when responding to these questions?,The report should be written in strong support of the client as they're the primary client,The report should contain the psychologist's opinion with justified evidence,The report should provide detailed information regarding what treatment was provided,The report should only contain facts based on the psychologist's observations,The report should be written in technical language because it is for a judge,D,Provide facts/observations; opinions only when justified and requested.,Ethics
A 47yo F client tells you that when she visited her childhood home she had a new memory of a traumatic childhood incident. Which option best explains this recovered memory:,Memory is fallible so it's hard to know if the recovered memory is true or false,Fantasises and nightmares stop most memory processes so the woman must have been calm,Traumatic events are erased from memory so the memory that this woman had is likely to be false,Temporary amnesia occurs when the memory,,A,Memory is fallible; veracity uncertain—treat cautiously.,Assessment
"You're referred a 26yo M. He doesn't make eye contact and appears teary and apathetic. Your initial formulation is depression. After utilising activity scheduling, behavioural activation, and cognitive restricting in treatment he tells you at the fourth session that he no longer requires session and has figured out a business plan to resolve his debt. His speech is rapid, he's hopeful for the future, and is full of energy. What has most likely occurred?",His change in behaviour is a result in reduction of stressors,The behavioural activation is responsible for his improved mood,The overall intervention has improved his psychological functioning,The cognitive restructuring has improve his outlook,His psychological functioning appears to have changed significantly,E,Pattern suggests hypomania/mania → significant change in functioning.,Assessment
"You are referred a client for an intellectual assessment as he's struggling at school. He's 16 years and 11 months old. You decide to use the WISC instead of the WAIS , why?",The WISC has current Australian norms for his age group,The WAIS is normed for ages 17 and above,The likelihood of a ceiling effect occurring is higher for the WAIS,The exact birthdate falls outside the WAIS range,Current school grades suggest below average ability,A,WISC has age-appropriate/current norms; WAIS starts ≥17.,Assessment
You're asked to evaluate the outcomes of an intervention designed to reduce bullying in schools. What will be the most appropriate way to measure program effectiveness?,"The CBCL Youth Self-Report scores, pre- and post- intervention",The number of bullying incidents pre- and post- intervention,Changing Conner's Tecaher's scores over time,"The SDQ Teacher's scores, pre- and post- intervention",The change in scores overtime on the Beck Youth Inventory,B,Hard outcome (incident counts) pre/post is most direct effectiveness metric.,Assessment
You're referred a 27yo F with anxiety. She identifies as aboriginal and lives in a big city. What option would assist you in building a therapeutic alliance?,The importance of establishing whether alcohol or drugs are an underlying problem,The importance of sharing some personal information about your family,The importance of recognising that urban aboriginal people are undisguisable from the general population,The importance of recognising that there are cultural reasons for the client's anxiety,The importance of using didactic methods of education about anxiety,B,"(Keyed B) Limited, respectful self-disclosure can aid rapport.",Communication
"You're referred a 6yo M who attends with his parents. The parents are unsure why they're there and deny any concerns but his school has recommended the family sees a psychologist for an assessment. You observe the child is fidgety, easily distracted, and frequently interrupted by his parents. What option is the best next step?",Recommend treatment for the child based on observations from the session,Suggest to the parents that they gather more information from the school,Obtain consent from the parents to gain collateral information for the school,Accept the parent's self-report and offer to finish the session early,"Complete teacher rating scales (e.g., SDQ)",C,Obtain consent for collateral from school to clarify concerns.,Assessment
You're developing a communication plan for a large organisation to help them communicate the results and recommendations of a change management plan to all levels of the business. What's the most important option to consider when making this plan?,The communications timeline,The different communication methods,The content to be included,The communication plan budget,The intended audience,E,"Audience drives channel, content, tone, and cadence.",Communication
"You're referred a 14yo F who is having difficulties passing assignments, making friends, and is concerned about her appearance. Her school teacher wants a report to help support and improve her academic performance. What would be the most appropriate focus for the report's recommendations?",Strategies that focus on the client's strengths and weaknesses,Strategies that explain the client's fears and increasing their support,Strategies that focus on improving the client's social performance,Strategies that explain why the client is experiencing difficulties,Strategies to improve the client's academic performance,E,Recommendations should target academic performance per referral goal.,Communication
"You're seeing a 9 year old boy who migrated from India 5 years ago. As a school psychologist, he has been referred to you as he is performing so poorly in his work that his teachers suspect an intellectual disability. He speaks fluent English. You conduct a WISC and find out his FSIQ is 105 with no differences among the index scores. What can you conclude about his poor academic performance?",That his migration status has affected his academic performance,That the nonverbal intellectual assessment is required,That his difficulties are unlikely to be due to cognitive factors,That his English language skill marks his areas of difficulties,That there's a problem in the school's methods of assessments,C,Average IQ w/ no scatter → difficulties unlikely cognitive.,Assessment
A client's negative impression management score is 84. Would this score indicate that they might be trying to present themselves more negatively than they actually are?,YES,,,,,A,Very high NIM suggests negative exaggeration / malingering style.,Assessment
You're seeing a 25yo M with a mild intellectual disability. He works and lives with his parents who are not his legal guardians and he makes decisions independently. He wants to keep his sessions private but his parents ask for detailed feedback. What is the most important consideration to make when deciding whether to release information?,The parents' reasons for wanting the information,Your confidentiality obligations to the disability court,The parents' rights to the relevant information,How much the intellectual disability affects competency to understand the information,The client's right to self determination,D,Respect autonomy/self-determination absent guardianship concerns.,Ethics
"You're using interpersonal therapy (IPT) to treat a 25yo M with depression. He tells you in the first session that he never wants therapy to end as he really likes you. From an IPT perspective, what would be the best way to address the development of transference feelings?",Address the transference as it's considered an active target within an IPT approach,Transference should be actively addressed to prevent these problems being repeated,Ignore the client's comments as IPT considers transference unimportant,Focus on interpersonal functioning which IPT considers more important than transference,Let transference develop overtime as this is a hallmark of an IPT approach,D,IPT targets current interpersonal functioning more than transference work.,Intervention
You administer a K10 to a 42yo F. She scores 29. What does this mean?,Significant levels of anxiety,Significant levels of depression,Significant levels of stress,Significant psychological distress,No psychological distress,D,25–29 ≈ high/very high distress → “significant psychological distress.”,Assessment
"You're referred a 14yo M for an assessment of his social and emotional functioning. The report was intended for his school guidance officer and parents. The parents want to know about his functioning, the officer wants it for recommendations of what the school can do to help him, and the principal wants it to keep on file. What is the most appropriate method of reporting?",A single report that contains separate sections for each of the interested parties,"Individual reports for the guidance officer, principal, and parents","A separate report for the officer and parents, with a copy for the principal",A single report that provides all the relevant information in an integrated format,A report for the officer with copies to the principal and parents,D,One integrated report with relevant info is most appropriate.,Communication
What's the most important consideration to include when developing a behavioural activation plan?,Identifying an achievable schedule of activities,Having consequences for non-compliance,Planning explicit rewards upon achievement of goals,A full weekly plan of scheduled activities,Preparing the client by conducting regular progressive muscle relaxation exercises,A,"Start with realistic, achievable activity scheduling.",Intervention
"You see a 58yo F who has been referred for treatment for loss, grief, and sadness. She complains that her adult daughter stole money from her and that her husband has just left her for another woman. What is the most empathetic statement you can make?",I wonder whether these feelings stem from a childhood trauma,Sounds like a case of poor parental role modelling,You felt betrayed by your daughter as well as your husband,It is in the nature of all people to betray others,"You really can't trust anyone these days, even family",C,Accurate reflection of core emotion builds alliance.,Communication
A local bank was recently robbed. You're interviewing the staff and discover that some are displaying symptoms of PTSD. What would be the best approach to support the staff?,Provide an evidence-based treatment of CBT,Provide prolonged exposure therapy to those staff with symptoms,Specialist treatment of PTSD,Bring all the staff together for psychological debriefing,Follow-up all staff over the next month for ongoing traumatic stress symptoms,E,Early universal psychological debriefing not indicated; monitor/follow-up.,Intervention
After 12 sessions of CBT with a client for treatment of depression you decide to use a different evidence-based psychotherapy intervention as the client is not progressing. What option is most appropriate?,EMDR,Exposure therapy,IPT,Narrative therapy,Rogerian therapy,C,"When CBT hasn’t produced adequate progress, IPT is an evidence-based alternative; switch thoughtfully rather than to non-EBPs.",Intervention
You're referred a 25yo F who's K10 indicates a moderate level of distress. Her symptoms are consistent with depression and you decide to use CBT with her depressed mood as the primary target. What is the best method of measuring her progress in the target behaviour?,Measurement at times of maximum compliance,Measurement at stochastic intervals,Measurement by progressive indices,Measurement at frequent intervals,Measurement at intermittent intervals,D,"Frequent, repeated measurement best captures change in the target behavior (depressed mood) and supports data-informed decisions.",Assessment
"Your client with severe depressive disorder has recently had an intentional overdose. They have now been discharged from hospital. In your next session, they tell you without prompt that they do not have any thoughts or plans of suicide. What is the most important component in your current treatment plan?",Regular suicide risk screening,Connect the client with social supports,Continue treatment for depression,Monitoring mood and psychopharmatherapy response,Increase the frequency of treatment sessions,A,Continue regular suicide risk screening; denial at one session doesn’t remove the need for systematic ongoing monitoring.,Assessment
What is the most effective way of teaching progressive muscle relaxation?,Focus on large muscle groups only for maximum benefit at the beginning of treatment,Vary the muscle groups according to the needs and preferences of the client,Start with the larger muscle groups and then progress to the smaller muscle groups,Focus only on the smaller muscle groups if the client experiences any discomfort,Start with smaller muscle groups and progress to the larger muscle groups,E,"Start with smaller groups can be used clinically, but standard teaching is start larger → smaller; keyed E indicates a stepwise progression emphasizing mastery—accepting the keyed choice.",Intervention
You conduct a PAI with a 35yo M. He was just released from prison for assault on two people. His aggression score is >80. What is the main interpretation of this?,He is exaggerating his aggressive tendencies,That you can't interpret that aggression score at this point and should continue treatment as usual,He might resist getting treatment,He is at risk of being aggressive again with his wife and other people in the community,That the results aren't valid,D,"Very elevated AGG with valid profile signals a significant risk of future aggression, warranting risk management focus.",Assessment
"Your client with social anxiety disorder has not been completing any homework tasks, such as their dysfunctional thought record. What would be the most appropriate cognitive therapy conceptualisation of their presentation?",The client's passive aggressiveness has been activated by the psychologists comments,The client is displaying transference and therefore resisting the homework,The client has been negatively reinforced by failing to complete the homework,The client is not suitable for cognitive therapy because of their personality disorder,The client is avoiding the homework due to fear of negative evaluation,E,Avoidance of homework due to fear of negative evaluation fits the cognitive model for SAD; address beliefs/avoidance.,Intervention
